sequence_length,adaptive_L,fixed_L8_ms,adaptive_ms,speedup
1024,2,4.656799996155314,2.1241999929770827,2.192260621199218
2048,4,9.048799998709,5.026099999668077,1.800362109648949
4096,8,18.574800007627346,17.93240000552032,1.0358234258609704
8192,12,36.82900000421796,52.31889999413397,0.7039329956927086
16384,16,83.93839999916963,157.3978999949759,0.5332879282496713
