sequence_length,L,time_ms,cosine,relative_error
1024,1,1.5427000034833327,0.880425214767456,0.5354226231575012
1024,2,2.2594000038225204,0.9276992678642273,0.40119338035583496
1024,4,2.8882999904453754,0.9593392610549927,0.2957821190357208
1024,8,4.5707000099355355,0.9729166030883789,0.2390250265598297
1024,16,7.692500003031455,0.9805403351783752,0.20124109089374542
1024,32,15.121099990210496,0.9847300052642822,0.1775306612253189
2048,1,3.0543000029865652,0.879955530166626,0.5362774133682251
2048,2,4.054300006828271,0.9283249378204346,0.3987959623336792
2048,4,5.305500002577901,0.9585520029067993,0.2978048622608185
2048,8,8.95559998753015,0.9725328683853149,0.24020124971866608
2048,16,15.253500008839183,0.9802863597869873,0.20231425762176514
2048,32,31.70469999895431,0.9843727350234985,0.1795053482055664
4096,1,5.9735999966505915,0.8864540457725525,0.519982635974884
4096,2,8.22649999463465,0.9313610792160034,0.38982972502708435
4096,4,11.252399999648333,0.9598091840744019,0.29317304491996765
4096,8,19.897499994840473,0.9731148481369019,0.23746350407600403
4096,16,34.733299995423295,0.9804446697235107,0.201216459274292
4096,32,66.96029999875464,0.984521210193634,0.17849326133728027
